iter	Passed	Remaining
768	2850	856
769	2853	852
770	2857	848
771	2860	844
772	2863	841
773	2867	837
774	2870	833
775	2873	829
776	2877	825
777	2880	822
778	2884	818
779	2887	814
780	2890	810
781	2894	806
782	2897	803
783	2901	799
784	2904	795
785	2907	791
786	2911	787
787	2914	784
788	2917	780
789	2921	776
790	2925	772
791	2928	769
792	2931	765
793	2935	761
794	2938	757
795	2942	754
796	2945	750
797	2949	746
798	2952	742
799	2956	739
800	2959	735
801	2962	731
802	2966	727
803	2969	723
804	2973	720
805	2977	716
806	2980	712
807	2984	709
808	2987	705
809	2991	701
810	2994	697
811	2997	694
812	3001	690
813	3004	686
814	3007	682
815	3010	678
816	3014	675
817	3017	671
818	3021	667
819	3024	663
820	3028	660
821	3031	656
822	3034	652
823	3038	648
824	3041	645
825	3045	641
826	3049	637
827	3053	634
828	3057	630
829	3060	626
830	3063	623
831	3068	619
832	3071	615
833	3074	611
834	3078	608
835	3081	604
836	3085	600
837	3088	597
838	3092	593
839	3095	589
840	3099	585
841	3102	582
842	3105	578
843	3108	574
844	3112	570
845	3116	567
846	3119	563
847	3122	559
848	3126	555
849	3129	552
850	3133	548
851	3136	544
852	3139	541
853	3143	537
854	3147	533
855	3150	529
856	3153	526
857	3156	522
858	3160	518
859	3164	515
860	3167	511
861	3170	507
862	3174	503
863	3177	500
864	3180	496
865	3184	492
866	3187	488
867	3190	485
868	3194	481
869	3197	477
870	3200	474
871	3204	470
872	3207	466
873	3211	462
874	3214	459
875	3217	455
876	3220	451
877	3224	447
878	3227	444
879	3231	440
880	3234	436
881	3237	433
882	3241	429
883	3245	425
884	3248	422
885	3252	418
886	3255	414
887	3259	411
888	3262	407
889	3266	403
890	3269	399
891	3272	396
892	3276	392
893	3279	388
894	3283	385
895	3286	381
896	3289	377
897	3292	374
898	3296	370
899	3299	366
900	3302	362
901	3306	359
902	3310	355
903	3313	351
904	3316	348
905	3319	344
906	3323	340
907	3327	337
908	3330	333
909	3333	329
910	3336	325
911	3340	322
912	3343	318
913	3346	314
914	3349	311
915	3353	307
916	3357	303
917	3360	300
918	3363	296
919	3366	292
920	3370	289
921	3373	285
922	3376	281
923	3379	277
924	3383	274
925	3386	270
926	3389	266
927	3392	263
928	3396	259
929	3399	255
930	3402	252
931	3406	248
932	3409	244
933	3412	241
934	3416	237
935	3419	233
936	3422	230
937	3426	226
938	3429	222
939	3433	219
940	3437	215
941	3440	211
942	3443	208
943	3447	204
944	3451	200
945	3454	197
946	3458	193
947	3461	189
948	3466	186
949	3469	182
950	3472	178
951	3476	175
952	3479	171
953	3483	167
954	3486	164
955	3489	160
956	3492	156
957	3496	153
958	3499	149
959	3502	145
960	3506	142
961	3509	138
962	3513	135
963	3517	131
964	3521	127
965	3524	124
966	3528	120
967	3532	116
968	3535	113
969	3539	109
970	3542	105
